MSA,NUM,PercentbyFemale,Percent by fertility,HighSchool,Bachelor,MedianIncome,Poverty,Unmarried,White,Black,AmericanIndian,Asian
45940,11,5.90E-05,0.002428792,86.5,38.2,71217,7.4,52.5,0.647892,0.201451522,0.002807008,0.085296821
46060,36,7.33E-05,0.0028472,86.8,29.6,45521,11.2,52.2,0.755861817,0.03455709,0.031923497,0.026033167
46140,73,0.000156241,0.006028076,87.4,24.9,46494,10.8,46.8,0.735012269,0.082588539,0.068657364,0.016377306
46220,1,9.06E-06,0.000357654,82.9,24.1,40293,12.7,57.5,0.630706326,0.341645069,0.002760182,0.009436081
46340,12,0.000113918,0.00379867,84.2,24.5,46139,11.3,47.2,0.73562512,0.182007247,0.004262684,0.009793847
46540,7,4.65E-05,0.002188184,86.1,20.8,45709,10.3,50.8,0.897191039,0.046616365,0.002151473,0.020654811
46660,7,0.000101778,0.002676864,81.4,20,38973,15.6,54,0.598829393,0.338465881,0.002027765,0.01222601
46700,15,7.32E-05,0.002216967,85.8,24,68409,7.8,49.8,0.517171412,0.148238473,0.006287161,0.144075485
47020,8,0.00013805,0.003861004,80,16.6,47994,13,45.6,0.77972549,0.05279857,0.002427823,0.013462583
47220,0,0,0,75.8,13.3,50651,12.8,58.1,0.654847674,0.200275319,0.010330897,0.012550175
47260,94,0.000110881,0.00387549,88.8,27.6,57605,7.5,50.6,0.607774177,0.312638073,0.002976423,0.03437919
47300,24,0.00011194,0.00273442,67.3,13,43851,18.9,48.3,0.773558234,0.014657525,0.011788432,0.034161303
47380,23,0.000194782,0.006308283,80.3,20.6,40672,14.1,53.2,0.77071437,0.148135565,0.004547296,0.013955494
47580,9,0.000130178,0.003717472,87.3,24.4,55098,10.3,48.5,0.651097272,0.276838671,0.001972123,0.022056643
47900,158,5.68E-05,0.001897214,89.7,47.1,85660,4.9,50.5,0.561388863,0.259911448,0.003434385,0.091044883
47940,5,5.87E-05,0.002021836,89.7,24.7,46503,9,48.5,0.887076545,0.068765904,0.002466262,0.010293178
48140,7,0.000105705,0.003990878,88.4,20.8,53471,5.6,41.4,0.920554266,0.004907874,0.0042746,0.052855764
48300,1,1.83E-05,0.000660502,81.8,21.2,48685,8.9,43.3,0.849049975,0.003855578,0.011575979,0.007063936
48540,8,0.000105864,0.005006258,87.1,17.2,37739,12.5,47.8,0.948609407,0.028485919,0.000822357,0.004711703
48620,16,5.19E-05,0.001578688,88.4,26.7,48611,9.5,46.6,0.804436619,0.074074925,0.008306763,0.032715058
48660,6,8.13E-05,0.00245098,83.4,19.9,44064,11.3,49.3,0.821825336,0.093221069,0.007797129,0.020251337
