MSA,NUM,PercentbyFemale,HighSchool,Bachelor,MedianIncome,Poverty,Insurance,Unmarried,White,Black,AmericanIndian,Asian
17420,4,6.70E-05,81.6,17.4,40811,15,100.01,47.1,0.927735395,0.037853296,0.00206348,0.008433725
17460,46,4.28E-05,88.8,28.4,48954,11.5,98.62,54,0.745624866,0.199948816,0.001892837,0.020137472
17660,9,1.26E-04,92.1,23.3,49002,9.5,100.58,43.4,0.948360976,0.002919345,0.013026956,0.008168484
17780,7,6.12E-05,83.5,34,39266,15.5,100.24,60.7,0.753833988,0.116002714,0.003681666,0.048241918
17820,19,5.79E-05,93.6,35.1,57229,8.7,100.06,46,0.816864554,0.057518713,0.007146126,0.025347461
17860,9,1.05E-04,93,47.3,48627,9.3,100.64,56.6,0.82455844,0.086773719,0.001387414,0.038401216
17900,80,0.000200746,88.1,30.3,49294,11.7,99.2,54.3,0.610111561,0.33232234,0.001990232,0.0175851
17980,33,0.000213722,84.8,21.7,42288,14.9,99.64,57,0.525630216,0.401052611,0.002628233,0.018213196
18020,4,1.02E-04,89.1,26.5,54165,8.6,99.1,44.8,0.884563069,0.0196715,0.004529706,0.040510715
18140,144,1.47E-04,90,33,54156,10.8,100.15,51.8,0.783994431,0.143857833,0.001802993,0.031609735
18580,13,5.91E-05,79.8,19.3,47373,14.5,99.85,53.4,0.868418865,0.036382402,0.004202321,0.015347707
18700,1,2.33E-05,94.6,50,48604,9.5,99.67,56.2,0.8813104,0.010315273,0.007628883,0.055658282
18880,9,7.49E-05,89.3,26.6,52303,10.7,100.35,47.8,0.820315787,0.081974245,0.006727382,0.026629049
19060,0,0,87.2,15.8,36833,10.8,98.13,55.7,0.905672353,0.067728422,0.001122948,0.006337334
19100,287,8.61E-05,83.8,31.7,58356,11.3,101.47,48.9,0.690140397,0.149130004,0.004785553,0.055216579
19140,7,9.83E-05,69.2,12.7,39165,17.2,100.38,47.3,0.894255948,0.031472617,0.002949458,0.007264536
19180,0,0,85.7,13.9,41400,14.8,98.44,53.6,0.83004917,0.132031991,0.003376588,0.007837628
19300,0,0,89.1,27.7,50221,10.3,101.89,43,0.864376797,0.094771102,0.006183396,0.007113311
19340,14,7.22E-05,90,25.4,51151,9.1,99.1,48.7,0.860931097,0.071889217,0.002718147,0.016539767
19380,50,1.21E-04,89.1,26.2,47095,12.1,98.5,53.2,0.791719043,0.156106588,0.001431621,0.020041452
19460,12,1.53E-04,80.5,18.1,43312,12.4,99.14,47.3,0.81641962,0.117326688,0.018766023,0.005589464
19500,7,1.22E-04,88.1,22.3,46559,12.3,97.02,51.4,0.792213092,0.158740092,0.000535089,0.011635922
19660,12,3.93E-05,88.1,21.2,43133,11.4,99.99,51.1,0.818814662,0.106082022,0.002821913,0.017369505
19740,84,6.43E-05,89.6,39.2,62742,8.7,101.3,49.5,0.813771087,0.055396863,0.008134647,0.037163291
19780,15,5.08E-05,92.4,34.5,60750,7.7,100.42,46,0.876728529,0.04685211,0.002045057,0.031686328
19820,229,1.03E-04,88.2,28.1,51844,12.6,99.35,53.1,0.702995554,0.226235538,0.002959937,0.034945178
20020,2,2.63E-05,82.2,17.5,40076,14.6,99.66,49.5,0.729390473,0.229769507,0.002451767,0.008646065
20100,7,8.19E-05,85.2,21.4,55149,9.2,100.36,51.8,0.682051748,0.241180391,0.006471551,0.020438708
20220,0,0,91.4,27.1,51475,7.2,99.15,47.2,0.941288621,0.01360011,0.001408734,0.011672369
20260,8,5.76E-05,92.8,24.8,47074,9.6,98.71,50.8,0.925214233,0.014653992,0.026136945,0.009148467
20500,17,6.34E-05,87.4,44.1,52549,11.3,100.8,54.1,0.616705173,0.267917059,0.004106053,0.044003653
20700,0,0,89.6,23.8,57408,8.7,99.15,49.1,0.791011382,0.133669139,0.002266983,0.02135581
20740,5,6.16E-05,92.2,25.9,49176,8,99.89,50.2,0.940214448,0.010045302,0.003736212,0.024251526
20940,20,0.000234968,64.5,13.3,41807,20.9,101,53.3,0.684373948,0.030941604,0.014851513,0.014857221
21060,7,9.31E-05,86.9,18.2,47693,12.3,99.25,45.2,0.83745013,0.097230032,0.002891799,0.017324015
21140,11,1.09E-04,80.5,18.2,45693,13,99.42,46.5,0.85583554,0.059241324,0.002531939,0.009810633
