MSA,NUM,PercentbyFemale,Percent by fertility,HighSchool,Bachelor,MedianIncome,Poverty,Insurance,Unmarried,White,Black,AmericanIndian,Asian
46660,8,0.000111674,0.003514938,82.1,19.9,37525,16.9,98.72,56.1,0.592954263,0.340949059,0.001486925,0.013754057
46700,27,0.000130235,0.004064429,86.7,24.2,69006,9,99,50.5,0.526941713,0.142097347,0.005277529,0.147778054
47020,13,0.000221073,0.007258515,80.7,16.2,48914,13.4,99.05,48,0.827090009,0.055080025,0.003169887,0.012843656
47220,1,1.31E-05,0.000444444,77.1,14,51530,12.9,99.08,58.8,0.640248878,0.201792636,0.009753672,0.013132395
47260,46,5.39E-05,0.001896829,89.5,28.4,59293,8.4,97.92,51.6,0.604136821,0.312118746,0.003297561,0.036080883
47300,30,0.000136174,0.003565062,68.1,13.3,43803,20.5,99.33,49.8,0.796081262,0.016210393,0.012548741,0.033301122
47380,24,0.000198949,0.006922411,81.8,21.8,41589,15.1,98.76,53.7,0.77548524,0.147400544,0.004811913,0.014256732
47580,8,0.00011094,0.003246753,87.9,24.8,56265,11.8,98.62,47.6,0.634140968,0.285339626,0.001485441,0.023660438
47900,138,4.80E-05,0.001667835,89.9,47.6,89826,5.3,99.22,51,0.559870664,0.257720262,0.003595841,0.093006116
47940,6,6.98E-05,0.002439024,90.4,25.5,48315,8.8,98.79,50,0.885550941,0.071606751,0.001479996,0.011953356
48140,7,0.000104874,0.004034582,89.2,21.9,53762,6.8,99.06,42.3,0.918830805,0.00517006,0.003110988,0.053908879
48300,4,7.19E-05,0.002828854,82.6,21.8,51059,9.5,99.47,43.7,0.838844765,0.003095668,0.011723827,0.007364621
48540,11,0.000146888,0.007719298,88.7,17.6,41095,10.9,98.68,48.5,0.946610434,0.02942732,0.001301854,0.00569561
48620,72,0.000229226,0.007536111,89,27.7,50511,9.8,99.07,48.2,0.812455234,0.073869956,0.008250695,0.033183052
48660,6,8.16E-05,0.002942619,84.9,19.8,46838,9.4,97.57,49.6,0.830881133,0.091391748,0.008269125,0.018947313
48700,10,0.000168373,0.006410256,87.4,18.6,44557,9.9,96.77,49.6,0.926541688,0.043822512,0.001897859,0.00661245
48900,18,9.66E-05,0.003819223,88.3,30.4,48182,10.9,99.36,48,0.810709807,0.141691966,0.003484139,0.009517445
49020,4,6.21E-05,0.002458513,83.9,23.3,51815,6.9,98.97,48.4,0.901212282,0.049767348,0.000832568,0.014044725
49180,14,5.62E-05,0.002212739,85.4,27.4,45356,12.6,99.06,49.3,0.720979271,0.20540804,0.002692305,0.014522132
49340,14,3.45E-05,0.001395395,89.1,33.8,65968,7.3,98.89,50.3,0.866858423,0.040545393,0.001976787,0.040156291
49420,6,4.95E-05,0.001454193,71.1,15.9,44256,17.2,99.28,51,0.745234148,0.007787044,0.040176693,0.009886411
49500,0,0,0,63,15.5,14667,53.5,99.88,58.1,0.901575871,0.028244096,0.003806406,0.000589198
49620,49,0.000222648,0.010385757,87.8,21.6,58747,6.7,99.19,45,0.888880963,0.053456334,0.00136684,0.012494851
49660,22,7.58E-05,0.003712454,87.9,19,42224,12.2,98.57,51.7,0.86033026,0.108649924,0.001411199,0.006225565
49700,4,4.81E-05,0.001386001,78.1,16.4,49097,14.3,98.8,48,0.683073733,0.021994618,0.014665077,0.109937133
49740,3,3.08E-05,0.00102529,71.5,14.2,41156,18.2,99.17,43.5,0.763272579,0.02079218,0.01377151,0.011195398
