MSA,NUM,PercentbyFemale,Percent by fertility,HighSchool,Bachelor,MedianIncome,Poverty,Unmarried,White,Black,AmericanIndian,Asian
10180,7,0.0000857,0.002804487,83.1,21.2,42644,11.5,50.8,0.835606338,0.077513711,0.077513711,0.013095673
10380,1,0.00000635,0.000376223,60.5,17.3,14257,51.7,55.9,0.868749329,0.030856311,0.030856311,0.001232172
10420,30,0.0000828,0.00358209,90.1,28.3,49485,10.1,50.7,0.836281197,0.119907751,0.119907751,0.01995214
10500,14,0.000168565,0.004927842,78.7,16.4,36613,19.5,58.9,0.452509643,0.520097442,0.520097442,0.008551563
10580,30,0.0000675,0.003006615,90.9,33,59339,7,52.4,0.854245011,0.07470938,0.07470938,0.030997511
10740,97,0.000217788,0.007531056,86.6,29.4,48663,12.6,52.8,0.695840761,0.026174686,0.026174686,0.019975629
10780,16,0.000205674,0.006938422,81.1,17.3,40402,14,54.2,0.66482311,0.297350241,0.297350241,0.010062293
10900,35,0.0000835,0.003398058,86.9,26.3,58054,7.6,47.5,0.85986446,0.04887419,0.04887419,0.024966874
11020,22,0.000336463,0.01641791,90,17.3,43243,9.5,49,0.963372413,0.017790542,0.017790542,0.006420647
11100,18,0.000144894,0.004991681,83.8,22.9,47234,11.8,49.1,0.829953633,0.060564239,0.060564239,0.024325775
11180,0,0,0,95.5,47.7,49733,5.9,56.8,0.891585852,0.026180611,0.026180611,0.06203642
11260,11,0.0000598,0.001585014,92.1,29.7,74271,5.7,49.1,0.714743444,0.044635723,0.044635723,0.061647698
11300,28,0.000424899,0.01459854,86.8,16.8,44035,12.7,52.3,0.883601506,0.063905055,0.063905055,0.004442923
11340,11,0.000114536,0.004258614,80.7,18.1,42854,12.4,45.9,0.80909654,0.158308873,0.158308873,0.006834523
11460,36,0.00020633,0.008498584,93.8,51,59737,7,54.7,0.747742416,0.123059697,0.123059697,0.079488987
11500,6,0.0000982,0.003389831,77.9,15.8,39467,15.4,51.7,0.752036322,0.204933086,0.204933086,0.006478821
11540,19,0.000169029,0.006297647,92.5,25.9,58389,5.2,41.9,0.931356454,0.008190651,0.008190651,0.027636756
11700,6,0.0000275,0.001174168,86.8,28.8,44512,10,45.9,0.901184767,0.047153236,0.047153236,0.00879434
12020,12,0.000121443,0.004662005,83.2,34.3,40951,14.2,59.9,0.739048477,0.19268188,0.19268188,0.031213019
12060,417,0.000156027,0.005171195,87.3,34.7,57783,10.4,50.3,0.565955433,0.321955314,0.321955314,0.047849825
12100,3,0.0000213,0.000893123,84.2,23.2,55222,9.6,53.1,0.656076207,0.162372019,0.162372019,0.074219692
