MSA,NUM,PercentbyFemale,Percent by fertility,HighSchool,Bachelor,MedianIncome,Poverty,Insurance,Unmarried,White,Black,AmericanIndian,Asian
10180,4,4.84E-05,0.001675744,84.1,21.4,44249,13.2,98.19,51.6,0.82342033,0.079098647,0.005132469,0.014577887
10380,0,0,0,64.2,18.9,15681,49.4,99.74,57.7,0.752036866,0.02971197,0.001715256,0.003300659
10420,38,0.000104937,0.004812563,90.8,29,50776,10.6,99.1,52.5,0.828658482,0.11905402,0.001694127,0.022180118
10500,7,8.52E-05,0.002725857,79.3,16.6,36805,21.7,99.21,59.2,0.441738032,0.526450806,0.001167792,0.009444437
10540,3,5.03E-05,0.002295333,89.6,17.5,44965,14.1,99.47,47.1,0.924173501,0.004734929,0.018762154,0.011524478
10580,39,8.71E-05,0.004173355,92,34.4,61841,7.7,98.88,53.7,0.845364204,0.076728566,0.001672059,0.035779101
10740,67,0.000146577,0.005497661,87.5,30.1,48875,14.6,99.52,54.3,0.717565844,0.026707832,0.055390891,0.020139311
10780,12,0.0001535,0.007407407,82.6,16.8,41032,15.6,98.76,55.7,0.66291844,0.297563437,0.006547534,0.012752164
10900,18,4.25E-05,0.00196915,88.4,26.8,58681,8.1,98.84,49.1,0.847715005,0.05293007,0.002409653,0.026801491
11020,13,0.00020025,0.010108865,90.3,18.6,43871,9.2,98.72,50.5,0.961541497,0.016107902,0.000528775,0.008018436
11100,10,7.81E-05,0.002704164,84.3,23.2,49553,12,98.93,49.7,0.848718866,0.059283063,0.006687727,0.028447156
11180,1,2.26E-05,0.001234568,95.8,48.5,51270,6.4,99.13,57.5,0.884793178,0.024472748,0.001544502,0.062073766
11260,10,5.23E-05,0.001667779,92.5,30.1,76453,6,98.85,50.8,0.701151214,0.047068907,0.065402109,0.067787185
11460,27,0.000151631,0.006460876,94.3,51.8,60805,7.9,99,56.1,0.741784131,0.120894911,0.002791261,0.082258276
11500,4,6.59E-05,0.003451251,80.1,16.9,40919,17,99.23,52.1,0.752009626,0.208181865,0.002321096,0.008012903
11540,13,0.000113623,0.005235602,93,27.1,60413,5.6,99.34,43,0.917805643,0.009591456,0.013212853,0.02846821
11640,0,0,0,69.4,21.1,17566,45.1,99.91,56.3,0.866681311,0.028235138,0.001491706,0.005481509
11700,9,4.02E-05,0.002028398,88.7,31.1,44820,11.4,98.68,48.2,0.905956547,0.047178696,0.003053988,0.009602866
12020,12,0.000117861,0.005300353,85.7,34.4,41624,15.2,99.51,60.2,0.732554881,0.19401183,0.001696495,0.034245773
12060,322,0.000114782,0.004270217,87.9,35.3,56618,12,99.52,52.2,0.560562106,0.328906979,0.002715097,0.051509124
12100,2,1.41E-05,0.000694203,84.7,24.4,54392,11.9,99.11,54.9,0.671450104,0.158525379,0.002073913,0.081133206
12220,4,5.34E-05,0.002216066,87.5,33.2,43641,13.2,99.44,56,0.705920563,0.231016984,0.001874281,0.030901955
12260,29,9.82E-05,0.003947727,85.2,24,46144,15.5,98.91,54.2,0.587632824,0.355652293,0.002513597,0.01801035
12420,52,5.67E-05,0.003660941,88.3,41,61900,10,99.32,52.4,0.782785545,0.073011897,0.004809222,0.050414819
12540,44,0.000105511,0.001665973,73,15.2,48574,19.3,99.64,53.2,0.737355578,0.056442004,0.012372192,0.044170077
12580,57,4.00E-05,0.001535229,89.2,36.6,70311,7.7,98.99,54.1,0.618250335,0.28828,0.002407936,0.049213408
12620,1,1.28E-05,0.000648088,90.7,24.2,44543,10.7,98.94,51.7,0.951974588,0.007772071,0.0107403,0.010095882
12700,1,8.88E-06,0.000725163,95,39.9,61597,6.2,98.75,47.2,0.930779348,0.025022424,0.004229273,0.013310591
12940,81,0.000195041,0.007608491,86.5,26.9,51829,12.4,99.06,55.9,0.601255515,0.355881469,0.002390756,0.019299096
12980,4,5.79E-05,0.002582311,89.2,19.6,43199,13,98.8,53,0.828953015,0.108923418,0.007421384,0.018668147
13020,4,7.35E-05,0.003132341,89,18.6,45715,11.3,99.07,49.8,0.945140744,0.012860265,0.003474233,0.005510208
13140,13,6.49E-05,0.002636382,84.3,16.4,44845,14.9,99.22,52.5,0.688215427,0.241512473,0.00345159,0.0258511
13220,7,0.000112428,0.005247376,81.9,15.9,38606,14.6,98.98,49,0.901795465,0.070790775,0.001951243,0.007411512
13380,2,1.93E-05,0.000810373,91,32.4,53025,10.6,99.48,51,0.862107344,0.008962437,0.026999585,0.039217983
13460,7,8.47E-05,0.003686151,92.9,31.3,49584,10.8,99.66,45.2,0.932518496,0.003794264,0.005682201,0.012149
13740,7,8.44E-05,0.003670687,92.5,28.7,51481,8.5,98.51,49,0.909952607,0.006341625,0.040388724,0.007440513
13780,11,8.67E-05,0.003834089,89.7,25.7,48290,10.4,98.56,52.9,0.89378202,0.041378314,0.002419151,0.031673627
13820,41,6.96E-05,0.002677289,86.2,27.8,48438,13.1,99.2,51.3,0.667715806,0.284904723,0.002894673,0.01327305
13900,1,1.65E-05,0.000563698,92.6,30.8,62375,5.9,98.68,45.8,0.898258319,0.007374387,0.064124022,0.004772637
13980,2,2.25E-05,0.001059883,86.9,31.1,44564,9.4,99.29,56.9,0.896552682,0.04530649,0.001912088,0.035468128
14010,10,0.000103499,0.003930818,94.5,40.8,61173,7.1,99.24,52.3,0.851321942,0.071823819,0.001424403,0.04212845
14020,7,8.58E-05,0.003510532,90.7,38.8,42416,12.3,99.14,61.6,0.88454766,0.02636958,0.003767962,0.05224046
14100,3,6.76E-05,0.003340757,89,22.9,47909,7.7,98.26,51.3,0.952947501,0.018734515,0.001086906,0.014679071
14260,62,0.00019366,0.007054272,90.1,29.8,50776,10.9,99.53,45.5,0.915338265,0.008200233,0.007454473,0.020202747
14460,113,4.72E-05,0.002050445,90.8,44,74494,7.3,99.15,52.6,0.781184878,0.076908307,0.001770204,0.06958001
14500,7,4.61E-05,0.00212057,94,58.2,69407,7,99.36,52.3,0.876808032,0.009244149,0.005239771,0.041767431
14540,15,0.000181194,0.007281553,84,22.5,43396,13.7,99,50.4,0.86452853,0.071185668,0.002753786,0.020477816
14740,0,0,0,94.1,30,62473,7.6,98.78,47,0.821437302,0.026721711,0.013981878,0.049188925
14860,25,5.21E-05,0.00233296,89.2,45.4,83163,6.6,98.9,48.8,0.74337813,0.11050133,0.002136553,0.048768217
15180,5,2.33E-05,0.000803213,64.1,16.1,33390,30,99.49,50.6,0.919458544,0.005386615,0.001830871,0.006865766
15260,11,0.000184582,0.008972268,84.1,21.7,44055,15.2,99.32,50.4,0.702268165,0.232522101,0.00312577,0.011138309
15380,68,0.000115975,0.00530711,90.2,29.6,50726,10.7,99.05,55,0.8086587,0.120667414,0.005694451,0.02573994
15500,7,8.69E-05,0.004086398,82.6,21,42592,13.9,99.24,50.5,0.704800505,0.179848159,0.003330883,0.013095834
15540,2,1.83E-05,0.000796178,92.7,41.6,62175,6.4,99.16,51.6,0.928323305,0.016779575,0.003501784,0.022838736
15680,0,0,0,91,29.8,88190,5.1,99.2,44.2,0.790406741,0.143437938,0.002525997,0.024596209
15940,12,5.78E-05,0.002467613,89.5,20.7,46233,11,98.49,49.5,0.894080951,0.066447158,0.001194166,0.007003957
15980,7,2.12E-05,0.001087632,86.9,25.3,47908,11,99.4,49.4,0.842562937,0.086005183,0.003218264,0.015594066
16020,6,0.00012032,0.004958678,85.8,24.1,42889,12.9,98.64,51,0.876910104,0.087828805,0.002344569,0.011465767
16060,2,3.14E-05,0.001439885,89.6,27.1,39227,14.4,98.92,54.7,0.855790062,0.090843201,0.003773644,0.020034191
16180,1,3.76E-05,0.002136752,86.8,20.4,50108,12.7,98.84,54.1,0.833308929,0.015338434,0.025533551,0.023465241
16220,2,5.15E-05,0.001998002,91.8,21.3,56769,7.4,98.96,48.9,0.924161338,0.010474532,0.012203338,0.008999962
